      timestamp               value            instance
0    1684636560  41.331247619048874  172.16.59.100:9100
1    1684636620  3.1085888531260224  172.16.59.100:9100
2    1684636680   3.082841841231982  172.16.59.100:9100
3    1684636740   2.815206521923102  172.16.59.100:9100
4    1684636800   2.994813735123529  172.16.59.100:9100
..          ...                 ...                 ...
309  1684659360  2.5762711864475847  172.16.59.100:9100
310  1684659420    2.67631654774722  172.16.59.100:9100
311  1684659480  2.6202945712816614  172.16.59.100:9100
312  1684659540  2.6949152542436963  172.16.59.100:9100
313  1684659600     2.5677966101685  172.16.59.100:9100
